date,gold,br,ind,tw,kor,uk,us,jp,kor10y,kor3y,us10y,us3y,euro
2022-05-27,0.3036359,-0.14366052,-0.50100076,0.32571933,0.32117686,0.5520677,-0.5226187,-1.0437666,0.4515814,0.35246724,0.40349022,0.39199454,-0.9069
2022-05-30,0.2813202,-0.14712642,-0.46363896,0.31188884,0.20511186,0.5209182,-0.52852185,-1.0721399,0.45210227,0.35136634,0.40323956,0.391930435,-1.7011
2022-05-31,0.2940437,-0.11974474,-0.45847422,0.25532073,-0.005339138,0.4649071,-0.534425,-0.99121654,0.45174155,0.35386008,0.4029889,0.39186633,-0.2149
2022-06-01,0.4728009,-0.15133667,-0.3981328,0.25098735,-0.13689597899999997,0.4970634,-0.5562103,-0.9632274,0.44540216,0.34916201,0.39768434,0.38810533,0.4158
2022-06-02,0.32913002,-0.19224074,-0.4066549,0.20829651,-0.26845282,0.47669506666666667,-0.5591284,-0.977985,0.43906277,0.34446394,0.3907078,0.3799529,-0.5633
2022-06-03,0.36077046,-0.19698206,-0.42093718,0.19443844999999998,-0.8158514,0.45632673333333335,-0.5722884,-1.0183386,0.4305872,0.33519596,0.38842714,0.37703988,0.2643
2022-06-06,0.5531553,-0.19528969,-0.41737875,0.18058039,-1.18010715,0.4359584,-0.5880283,-0.9983069,0.43083158,0.335890205,0.3881725,0.3778788,1.8602
2022-06-07,0.23829144,-0.19291243,-0.43102795,0.1684268,-1.5443629,0.40986127,-0.60809493,-0.95233166,0.43107596,0.33658445,0.38457668,0.3756501,0.8613
2022-06-08,0.35685503,-0.17486909,-0.44624594,0.1629601,-2.0578315,0.34772065,-0.61248326,-0.9268974,0.42126605,0.3280294,0.383994,0.37435156,-0.7059
2022-06-09,0.47595954,-0.15821874,-0.45436317,0.16715111,-2.2758048,0.34913784,-0.63021195,-0.9668472,0.42659217,0.3138129,0.38490924,0.3743068,1.668
2022-06-10,0.38041654,-0.13585652,-0.47790936,0.17428705,-2.6020424,0.4221267,-0.64740163,-1.0142741,0.42901963,0.32217085,0.3846581,0.37265527,-0.6935
2022-06-13,1.187238,-0.088178836,-0.46762794,0.17326519,-2.1943996,0.45127356,-0.6421679,-0.9740366,0.4318241,0.32160342,0.38101617,0.3626978,-0.4352
2022-06-14,0.6048184,-0.08379327,-0.49184254,0.17978708,-1.3794557,0.43342882,-0.6511274,-0.9966718,0.42266613,0.30906743,0.37097025,0.34517747,-0.9811
2022-06-15,0.15916759,-0.064262934,-0.5208372,0.21258971,-0.5018736,0.4194021,-0.6604807,-0.9404557,0.4221986,0.30410993,0.36406597,0.33567357,-1.6655
2022-06-16,1.1559316,-0.0323785853,-0.53514284,0.2290712,-0.48604298,0.49991333,-0.66064024,-0.9585743,0.4167699,0.29812688,0.36526063,0.33751002,0.4655
2022-06-17,0.5559096,-0.0004942366,-0.569558,0.23694201,-0.52348816,0.600376,-0.6403852,-0.9278418,0.42177457,0.30363613,0.3744609,0.3469931,0.5007
2022-06-20,0.2624007,-0.0020141327,-0.5397276,0.24299955,-0.0992031,0.6126272,-0.6430820500000001,-0.9999732,0.4251183,0.30293828,0.378297235,0.349422565,-0.0877
2022-06-21,0.94761103,-0.023504699,-0.54065937,0.24375907,1.1791167,0.63319916,-0.6457789,-0.9921378,0.430879,0.30831832,0.38213357,0.35185203,0.2335
2022-06-22,0.24914336,-0.023091117,-0.5508708,0.24248414,1.3608491,0.63029325,-0.65355134,-0.9753971,0.4361357,0.31451333,0.38456735,0.35386467,0.5122
2022-06-23,0.20651084,-0.003164465,-0.55769306,0.24259025,1.185816,0.5713727,-0.6645875,-0.9943212,0.44494936,0.32716054,0.3886354,0.3582544,0.2894
2022-06-24,0.2534657,-0.0053239116,-0.56789327,0.25683856,0.89268035,0.55401844,-0.65714264,-0.9072403,0.44963795,0.33118117,0.39705905,0.3666628,0.0528
